Make,Model,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Aircraft.damage,Broad.phase.of.flight
Cessna,310R,0,0,0,2,Substantial,Takeoff
Cessna,172,0,0,0,1,Substantial,Landing
Cessna,402B,0,0,0,1,Substantial,Go-around
Cessna,185,0,0,0,2,Substantial,Taxi
Cessna,310,0,2,0,0,Destroyed,Approach
Beech,95-C55,2,0,0,0,Destroyed,Cruise
Cessna,172K,0,0,0,1,Substantial,Approach
Cessna,421B,0,0,0,2,Substantial,Landing
Cessna,401,0,0,0,5,Substantial,Cruise
Sikorsky,UH-19B,0,0,0,2,Substantial,Landing
Cessna,421,2,0,0,0,Destroyed,Cruise
Grumman,G-164B,0,0,0,1,Destroyed,Takeoff
Cessna,152,0,0,0,1,Substantial,Takeoff
Piper,PA-60-602P,1,0,0,0,Substantial,Takeoff
De Havilland,DHC-6-100,0,0,0,7,Unknown,Cruise
Piper,PA-24-250,0,4,0,0,Destroyed,Cruise
Howard Aircraft Corp.,500,0,0,0,4,Substantial,Takeoff
Cessna,152,0,0,1,0,Substantial,Landing
Cessna,172K,4,0,0,0,Destroyed,Cruise
Piper,PA-34,1,0,0,0,Destroyed,Cruise
Rockwell,112A,2,0,0,0,Destroyed,Cruise
Beech,J35,4,0,0,0,Destroyed,Cruise
Cessna,150,0,0,0,1,Substantial,Taxi
Cessna,152,0,0,0,1,Substantial,Landing
Aeronca,7AC,0,0,1,1,Substantial,Landing
Cessna,172,0,0,0,2,Substantial,Landing
Piper,PA-18,0,0,1,1,Substantial,Unknown
Cessna,150,0,0,1,0,Substantial,Cruise
Aeronca,7EC,1,0,0,0,Destroyed,Maneuvering
Bell,214B-1,1,1,0,0,Destroyed,Other
Cessna,150,0,2,0,0,Destroyed,Descent
Cessna,152,0,0,0,1,Destroyed,Landing
Bellanca,17-30A,0,0,0,3,Substantial,Approach
Cessna,150,0,0,0,1,Substantial,Landing
Piper,PA-28-140,0,0,0,1,Substantial,Takeoff
Piper,PA-38-112,0,0,0,2,Substantial,Approach
Piper,PA-28-161,0,0,0,3,Substantial,Landing
Cessna,172N,0,0,0,4,Substantial,Landing
Porterfield,CP-65,2,0,0,0,Substantial,Takeoff
Piper,PA-28-161,0,0,0,4,Substantial,Landing
Boeing,B737-2H4,0,0,0,119,Minor,Approach
Cessna,310D,0,0,0,2,Destroyed,Takeoff
Piper,PA-23,1,0,0,0,Destroyed,Cruise
Mooney,M20J,0,0,0,1,Substantial,Landing
Piper,PA-28-151,0,0,0,1,Substantial,Descent
Cessna,152,0,0,0,1,Substantial,Takeoff
Piper,PA-28-151,0,0,0,2,Substantial,Takeoff
Cessna,152(II),0,0,0,1,Substantial,Landing
Beech,35,0,0,0,1,Substantial,Approach
Piper,PA-28R-180,0,1,2,0,Substantial,Landing
Cessna,150M,0,0,1,1,Substantial,Approach
Bellanca,8GCBC,0,0,1,0,Substantial,Landing
Piper,PA-31-310,0,0,0,2,Substantial,Landing
Cessna,172,0,0,0,1,Substantial,Approach
Piper,PA-31T2,8,0,0,0,Destroyed,Approach
Beech,90,0,0,0,4,Substantial,Cruise
Nihon,YS-11A,0,0,3,36,Substantial,Approach
Cessna,152,0,0,0,1,Destroyed,Taxi
Cessna,172M,0,0,0,2,Substantial,Landing
