Aircraft.damage,Make,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Weather.Condition,Broad.phase.of.flight
Destroyed,Cessna,0,1,0,VMC,Maneuvering
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Taxi
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Bellanca,0,0,0,VMC,Takeoff
Substantial,Hughes,0,0,2,VMC,Cruise
Destroyed,Bell,1,0,0,VMC,Maneuvering
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Taxi
Substantial,Aeronca,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Approach
Destroyed,Piper,1,0,0,IMC,Cruise
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Approach
Substantial,Mooney,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Approach
Destroyed,Cessna,1,0,0,IMC,Cruise
Destroyed,Cessna,1,0,0,VMC,Maneuvering
Substantial,Cessna,0,0,0,VMC,Maneuvering
Minor,Piper,0,0,0,VMC,Landing
Destroyed,Mooney,0,0,0,VMC,Climb
Substantial,Cessna,1,0,0,VMC,Takeoff
Substantial,Aeronca,0,0,0,VMC,Taxi
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,IMC,Landing
Substantial,Piper,0,0,1,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Approach
Substantial,Beech,0,1,0,IMC,Cruise
Substantial,Cessna,0,0,1,VMC,Landing
Substantial,Piper,0,0,0,VMC,Approach
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Takeoff
Destroyed,Beech,0,5,2,IMC,Approach
Destroyed,Cessna,0,1,1,VMC,Takeoff
Destroyed,Aerospatiale,0,1,0,VMC,Cruise
Destroyed,Cessna,2,0,0,IMC,Maneuvering
Substantial,Bellanca,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Grumman,0,0,0,VMC,Landing
Substantial,Piper,0,1,0,IMC,Cruise
Destroyed,Piper,1,0,0,IMC,Approach
Destroyed,Cessna,2,0,0,VMC,Unknown
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Smith miniplane,0,0,0,VMC,Landing
Destroyed,Mooney,1,0,0,VMC,Climb
Destroyed,Mitsubishi,0,0,6,IMC,Landing
Minor,Mcdonnell-douglas,0,1,0,IMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Maneuvering
Substantial,Taylorcraft,0,0,0,VMC,Landing
Substantial,Bell,0,0,0,VMC,Cruise
Substantial,Ted smith,0,0,0,IMC,Approach
Destroyed,Robinson,2,0,0,IMC,Cruise
Substantial,Bellanca,0,0,0,VMC,Landing
Substantial,Bell,0,0,0,VMC,Takeoff
Destroyed,Piper,2,0,0,VMC,Cruise
Destroyed,Piper,4,0,0,IMC,Cruise
Substantial,Piper,0,1,1,VMC,Takeoff
Substantial,Cessna,0,1,0,VMC,Climb
Minor,Boeing,0,0,0,VMC,Taxi
Destroyed,Piper,0,2,0,IMC,Unknown
Minor,Bellanca,0,0,0,VMC,Standing
Substantial,Taylorcraft,0,0,0,VMC,Taxi
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Raven,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Taxi
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Takeoff
Substantial,Ercoupe,0,0,0,VMC,Approach
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,2,VMC,Landing
Destroyed,Piper,8,0,0,VMC,Cruise
Destroyed,Cessna,8,0,0,VMC,Cruise
Destroyed,Piper,0,4,0,VMC,Landing
Destroyed,Cessna,4,0,0,IMC,Cruise
Substantial,Rockwell comdr,0,1,0,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Bellanca,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Taxi
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Landing
Destroyed,Cessna,1,0,0,IMC,Cruise
Destroyed,Cessna,0,0,1,VMC,Climb
Substantial,Piper,1,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,IMC,Landing
Substantial,Piper,0,0,1,VMC,Landing
Substantial,Cessna,0,0,1,VMC,Approach
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Beech,0,0,0,VMC,Takeoff
Destroyed,Piper,0,0,0,VMC,Landing
Destroyed,Beech,1,0,0,VMC,Maneuvering
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,IMC,Go-around
Substantial,Cessna,0,0,0,VMC,Taxi
Destroyed,Cessna,0,2,0,VMC,Approach
Destroyed,Beech,2,0,0,IMC,Cruise
Substantial,Cessna,0,0,0,VMC,Approach
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Sikorsky,0,0,0,VMC,Landing
Destroyed,Cessna,2,0,0,IMC,Cruise
Destroyed,Grumman,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Piper,1,0,0,VMC,Takeoff
Destroyed,Piper,0,4,0,VMC,Cruise
Substantial,Howard aircraft corp.,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,1,VMC,Landing
Destroyed,Cessna,4,0,0,IMC,Cruise
Destroyed,Piper,1,0,0,IMC,Cruise
Destroyed,Rockwell,2,0,0,IMC,Cruise
Destroyed,Beech,4,0,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Taxi
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Aeronca,0,0,1,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Piper,0,0,1,UNK,Unknown
Substantial,Cessna,0,0,1,VMC,Cruise
Destroyed,Aeronca,1,0,0,VMC,Maneuvering
Destroyed,Bell,1,1,0,VMC,Other
Destroyed,Cessna,0,2,0,VMC,Descent
Destroyed,Cessna,0,0,0,VMC,Landing
Substantial,Bellanca,0,0,0,VMC,Approach
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Approach
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Porterfield,2,0,0,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Landing
Minor,Boeing,0,0,0,IMC,Approach
Destroyed,Cessna,0,0,0,VMC,Takeoff
Destroyed,Piper,1,0,0,VMC,Cruise
Substantial,Mooney,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,IMC,Descent
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Beech,0,0,0,VMC,Approach
Substantial,Piper,0,1,2,IMC,Landing
Substantial,Cessna,0,0,1,VMC,Approach
Substantial,Bellanca,0,0,1,VMC,Landing
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Approach
Destroyed,Piper,8,0,0,IMC,Approach
Substantial,Beech,0,0,0,IMC,Cruise
Substantial,Nihon,0,0,3,VMC,Approach
Destroyed,Cessna,0,0,0,VMC,Taxi
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Piper,0,1,0,IMC,Descent
Substantial,Bellanca,0,0,0,VMC,Approach
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,2,IMC,Approach
Substantial,Boeing,0,1,1,VMC,Takeoff
Substantial,Piper,0,0,0,IMC,Approach
Minor,Embraer,0,0,0,VMC,Takeoff
Destroyed,Beech,1,0,0,VMC,Cruise
Destroyed,Piper,1,0,0,IMC,Cruise
Substantial,Cessna,0,0,0,VMC,Approach
Substantial,Great lakes,0,0,0,VMC,Taxi
Substantial,Piper,0,0,0,IMC,Descent
Substantial,Balloon works,0,0,0,VMC,Landing
Substantial,Quickie,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,UNK,Takeoff
Substantial,Beech,0,0,0,IMC,Approach
Substantial,Cessna,0,0,0,UNK,Landing
Substantial,Bell,0,0,0,VMC,Cruise
Substantial,Cessna,0,0,0,IMC,Landing
Destroyed,Pitts,0,0,1,VMC,Maneuvering
Destroyed,Cessna,1,1,0,VMC,Approach
Destroyed,Cessna,2,0,0,VMC,Maneuvering
Destroyed,Piper,1,0,0,VMC,Maneuvering
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Maneuvering
Substantial,Beech,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Approach
Substantial,Grumman,0,0,0,VMC,Cruise
Destroyed,Piper,0,2,0,VMC,Takeoff
Destroyed,Piper,0,4,0,VMC,Landing
Destroyed,Piper,1,0,0,UNK,Cruise
Destroyed,De havilland,1,10,1,VMC,Cruise
Substantial,Grumman,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,1,VMC,Cruise
Substantial,Mooney,0,0,0,IMC,Landing
Substantial,Bellanca,2,0,0,VMC,Maneuvering
Substantial,Piper,0,0,0,VMC,Go-around
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Fairchild hiller,0,0,0,VMC,Landing
Substantial,Bellanca,0,1,1,VMC,Takeoff
Destroyed,Kaman,0,0,1,VMC,Maneuvering
Destroyed,Bellanca,2,0,0,IMC,Cruise
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Grumman,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Taxi
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,UNK,Other
Substantial,Piper,0,0,0,VMC,Takeoff
Destroyed,Cessna,0,1,0,VMC,Takeoff
Destroyed,Bell,1,0,0,VMC,Cruise
Substantial,Piper,0,0,0,IMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Takeoff
Destroyed,Cessna,0,2,0,VMC,Cruise
Destroyed,Rockwell,0,2,0,VMC,Cruise
Destroyed,Beech,1,0,0,VMC,Takeoff
Destroyed,Cessna,0,0,0,IMC,Landing
Destroyed,Cessna,0,0,0,VMC,Landing
Substantial,Weatherly,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Eagle,0,0,0,VMC,Cruise
Destroyed,Cessna,4,0,0,VMC,Cruise
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Beech,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Beech,0,0,0,IMC,Approach
Destroyed,Robinson,1,0,0,VMC,Cruise
Minor,Beech,0,0,0,IMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Taxi
Substantial,Cessna,0,0,1,VMC,Approach
Destroyed,Cessna,0,0,0,VMC,Cruise
Minor,Aeronca,0,0,1,VMC,Landing
Destroyed,Beech,1,0,0,VMC,Approach
Substantial,Cessna,0,1,0,VMC,Approach
Substantial,Piper,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,1,VMC,Landing
Substantial,Hughes,0,0,0,VMC,Approach
Substantial,Cessna,0,0,0,VMC,Taxi
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Barnes,0,1,1,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Approach
Destroyed,Cessna,6,0,0,VMC,Climb
Destroyed,Barnes,0,0,1,VMC,Landing
Destroyed,Piper,4,0,0,VMC,Unknown
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Schweizer,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,1,VMC,Approach
Substantial,Cessna,0,1,0,VMC,Maneuvering
Substantial,Starduster ii,0,0,0,VMC,Maneuvering
Substantial,Cessna,0,0,0,VMC,Maneuvering
Substantial,Bell,0,0,0,VMC,Landing
Minor,Piper,1,0,1,VMC,Maneuvering
Destroyed,Homebuilt,0,0,1,VMC,Taxi
Substantial,Piper,0,0,0,VMC,Taxi
Substantial,Piper,0,0,0,VMC,Taxi
Substantial,Bellanca,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Bell,0,0,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Cruise
Destroyed,Cessna,2,0,0,VMC,Maneuvering
Destroyed,Ercoupe,1,0,0,VMC,Takeoff
Substantial,Hughes,0,0,0,IMC,Cruise
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Beech,0,0,1,VMC,Climb
Substantial,Piper,0,0,2,VMC,Approach
Substantial,Mooney,0,0,0,VMC,Cruise
Substantial,Smith mini,0,0,1,VMC,Approach
Substantial,Piper,0,0,0,VMC,Other
Destroyed,Bell,2,0,0,VMC,Approach
Destroyed,Cessna,1,0,0,VMC,Descent
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,4,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Landing
Destroyed,Beech,0,0,0,VMC,Maneuvering
Destroyed,Piper,1,0,0,VMC,Maneuvering
Destroyed,Cessna,3,0,0,IMC,Cruise
Substantial,Cessna,0,0,0,VMC,Taxi
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Mooney,1,0,1,VMC,Climb
Substantial,Piper,0,0,0,VMC,Approach
Substantial,Smith aerostar,0,0,0,VMC,Takeoff
Destroyed,Cessna,0,2,0,VMC,Cruise
Substantial,Beech,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Beech,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Schweizer,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Landing
Destroyed,Piper,0,0,0,VMC,Landing
Destroyed,Cessna,0,2,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Mooney,0,0,0,VMC,Landing
Substantial,Taylorcraft,0,0,0,VMC,Taxi
Substantial,Cessna,0,0,0,VMC,Taxi
Substantial,Cessna,0,0,0,UNK,Descent
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Piper,1,2,0,VMC,Descent
Substantial,Cessna,0,0,0,VMC,Descent
Destroyed,Rockwell intl,0,0,0,VMC,Landing
Destroyed,Cessna,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Howard aircraft corp.,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,1,0,VMC,Cruise
Substantial,Bell,0,1,0,VMC,Maneuvering
Destroyed,Hiller,0,0,1,VMC,Landing
Destroyed,Cessna,0,0,0,VMC,Cruise
Minor,Piper,0,0,0,VMC,Climb
Destroyed,Piper,0,1,0,VMC,Climb
Destroyed,Cessna,1,0,0,IMC,Cruise
Substantial,Schreder,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Piper,0,0,0,VMC,Approach
Substantial,Beech,0,0,1,UNK,Takeoff
Substantial,Piper,0,0,0,VMC,Approach
Minor,Swearingen,0,0,0,UNK,Maneuvering
Substantial,Piper,0,0,0,IMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Beech,0,0,0,VMC,Maneuvering
Substantial,Hiller,0,0,0,VMC,Maneuvering
Substantial,Rockwell,0,0,0,VMC,Takeoff
Substantial,Cessna,1,1,0,VMC,Cruise
Destroyed,Cessna,2,0,0,UNK,Cruise
Destroyed,Rockwell,0,0,0,VMC,Maneuvering
Substantial,Varga,0,0,2,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Hatz,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Bellanca,0,0,0,VMC,Landing
Minor,Nord aviation,0,0,0,IMC,Climb
Destroyed,Cessna,1,0,0,IMC,Approach
Destroyed,Cessna,0,1,0,VMC,Takeoff
Minor,Beech,0,0,0,IMC,Taxi
Substantial,Beech,0,0,0,VMC,Landing
Substantial,Cessna,0,1,1,VMC,Taxi
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,IMC,Taxi
Destroyed,Robinson,1,1,0,VMC,Maneuvering
Destroyed,Piper,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Taxi
Substantial,Piper,0,0,0,IMC,Landing
Substantial,Beech,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,0,0,1,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Bellanca,0,0,0,VMC,Taxi
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Taxi
Substantial,Beech,0,0,0,VMC,Approach
Substantial,Piper,0,0,5,IMC,Approach
Destroyed,Crook,0,1,0,VMC,Climb
Destroyed,Cessna,0,0,0,VMC,Takeoff
Destroyed,Cessna,2,0,0,UNK,Cruise
Destroyed,Cessna,0,0,2,VMC,Landing
Destroyed,American yankee,6,0,0,UNK,Cruise
Destroyed,Boeing,6,0,0,UNK,Approach
Destroyed,Piper,0,0,0,VMC,Taxi
Substantial,Piper,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Helio,0,0,0,VMC,Taxi
